Move Number,Move Code Name,Move Full Name,Function Code
83,THUNDERWAVE,Thunder Wave,
84,FOCUSPUNCH,Focus Punch,
85,HIGHJUMPKICK,High Jump Kick,
86,CLOSECOMBAT,Close Combat,
87,FOCUSBLAST,Focus Blast,
88,SUPERPOWER,Superpower,
89,CROSSCHOP,Cross Chop,
90,DYNAMICPUNCH,Dynamic Punch,
91,HAMMERARM,Hammer Arm,
92,JUMPKICK,Jump Kick,
93,AURASPHERE,Aura Sphere,
94,SACREDSWORD,Sacred Sword,
95,SECRETSWORD,Secret Sword,
96,SKYUPPERCUT,Sky Uppercut,
97,SUBMISSION,Submission,
98,BRICKBREAK,Brick Break,
99,DRAINPUNCH,Drain Punch,
100,VITALTHROW,Vital Throw,
101,CIRCLETHROW,Circle Throw,
102,FORCEPALM,Force Palm,
103,LOWSWEEP,Low Sweep,
104,REVENGE,Revenge,
105,ROLLINGKICK,Rolling Kick,
106,WAKEUPSLAP,Wake-Up Slap,
107,KARATECHOP,Karate Chop,
108,MACHPUNCH,Mach Punch,
109,ROCKSMASH,Rock Smash,
110,STORMTHROW,Storm Throw,
111,VACUUMWAVE,Vacuum Wave,
112,DOUBLEKICK,Double Kick,
113,ARMTHRUST,Arm Thrust,
114,TRIPLEKICK,Triple Kick,
115,COUNTER,Counter,
116,FINALGAMBIT,Final Gambit,
117,LOWKICK,Low Kick,
118,REVERSAL,Reversal,
119,SEISMICTOSS,Seismic Toss,
120,BULKUP,Bulk Up,
121,DETECT,Detect,
122,QUICKGUARD,Quick Guard,
123,VCREATE,V-create,
124,BLASTBURN,Blast Burn,
125,ERUPTION,Eruption,
126,OVERHEAT,Overheat,
127,BLUEFLARE,Blue Flare,
128,FIREBLAST,Fire Blast,
129,FLAREBLITZ,Flare Blitz,
130,MAGMASTORM,Magma Storm,
131,FUSIONFLARE,Fusion Flare,
132,HEATWAVE,Heat Wave,
133,INFERNO,Inferno,
134,SACREDFIRE,Sacred Fire,
135,SEARINGSHOT,Searing Shot,
136,FLAMETHROWER,Flamethrower,
137,BLAZEKICK,Blaze Kick,
138,FIERYDANCE,Fiery Dance,
139,LAVAPLUME,Lava Plume,
140,FIREPUNCH,Fire Punch,
141,FLAMEBURST,Flame Burst,
142,FIREFANG,Fire Fang,
143,FLAMEWHEEL,Flame Wheel,
144,FIREPLEDGE,Fire Pledge,
145,FLAMECHARGE,Flame Charge,
146,EMBER,Ember,
147,FIRESPIN,Fire Spin,
148,INCINERATE,Incinerate,
149,HEATCRASH,Heat Crash,
150,SUNNYDAY,Sunny Day,
151,WILLOWISP,Will-O-Wisp,
152,SKYATTACK,Sky Attack,
153,BRAVEBIRD,Brave Bird,
154,HURRICANE,Hurricane,
155,AEROBLAST,Aeroblast,
156,FLY,Fly,
157,BOUNCE,Bounce,
158,DRILLPECK,Drill Peck,
159,AIRSLASH,Air Slash,
160,AERIALACE,Aerial Ace,
161,CHATTER,Chatter,
162,PLUCK,Pluck,
163,SKYDROP,Sky Drop,
164,WINGATTACK,Wing Attack,
165,ACROBATICS,Acrobatics,
166,AIRCUTTER,Air Cutter,
167,GUST,Gust,
168,PECK,Peck,
169,DEFOG,Defog,
170,FEATHERDANCE,Feather Dance,
171,MIRRORMOVE,Mirror Move,
172,ROOST,Roost,
173,TAILWIND,Tailwind,
174,SHADOWFORCE,Shadow Force,
175,SHADOWBALL,Shadow Ball,
176,SHADOWCLAW,Shadow Claw,
177,OMINOUSWIND,Ominous Wind,
178,SHADOWPUNCH,Shadow Punch,
179,HEX,Hex,
180,SHADOWSNEAK,Shadow Sneak,
181,ASTONISH,Astonish,
182,LICK,Lick,
183,NIGHTSHADE,Night Shade,
184,CONFUSERAY,Confuse Ray,
185,CURSE,Curse,
186,DESTINYBOND,Destiny Bond,
187,GRUDGE,Grudge,
188,NIGHTMARE,Nightmare,
189,SPITE,Spite,
190,FRENZYPLANT,Frenzy Plant,
191,LEAFSTORM,Leaf Storm,
192,PETALDANCE,Petal Dance,
193,POWERWHIP,Power Whip,
194,SEEDFLARE,Seed Flare,
195,SOLARBEAM,Solar Beam,
196,WOODHAMMER,Wood Hammer,
197,LEAFBLADE,Leaf Blade,
198,ENERGYBALL,Energy Ball,
199,SEEDBOMB,Seed Bomb,
200,GIGADRAIN,Giga Drain,
201,HORNLEECH,Horn Leech,
202,LEAFTORNADO,Leaf Tornado,
203,MAGICALLEAF,Magical Leaf,
204,NEEDLEARM,Needle Arm,
205,RAZORLEAF,Razor Leaf,
206,GRASSPLEDGE,Grass Pledge,
207,MEGADRAIN,Mega Drain,
208,VINEWHIP,Vine Whip,
209,BULLETSEED,Bullet Seed,
210,ABSORB,Absorb,
211,GRASSKNOT,Grass Knot,
212,AROMATHERAPY,Aromatherapy,
213,COTTONGUARD,Cotton Guard,
214,COTTONSPORE,Cotton Spore,
215,GRASSWHISTLE,Grass Whistle,
216,INGRAIN,Ingrain,
217,LEECHSEED,Leech Seed,
218,SLEEPPOWDER,Sleep Powder,
219,SPORE,Spore,
220,STUNSPORE,Stun Spore,
221,SYNTHESIS,Synthesis,
222,WORRYSEED,Worry Seed,
223,EARTHQUAKE,Earthquake,
224,EARTHPOWER,Earth Power,
225,DIG,Dig,
226,DRILLRUN,Drill Run,
227,BONECLUB,Bone Club,
228,MUDBOMB,Mud Bomb,
229,BULLDOZE,Bulldoze,
230,MUDSHOT,Mud Shot,
231,BONEMERANG,Bonemerang,
232,SANDTOMB,Sand Tomb,
233,BONERUSH,Bone Rush,
234,MUDSLAP,Mud-Slap,
235,FISSURE,Fissure,
236,MAGNITUDE,Magnitude,
237,MUDSPORT,Mud Sport,
238,SANDATTACK,Sand Attack,
239,SPIKES,Spikes,
240,FREEZESHOCK,Freeze Shock,
241,ICEBURN,Ice Burn,
242,BLIZZARD,Blizzard,
243,ICEBEAM,Ice Beam,
244,ICICLECRASH,Icicle Crash,
245,ICEPUNCH,Ice Punch,
246,AURORABEAM,Aurora Beam,
247,GLACIATE,Glaciate,
248,ICEFANG,Ice Fang,
249,AVALANCHE,Avalanche,
250,ICYWIND,Icy Wind,
251,FROSTBREATH,Frost Breath,
252,ICESHARD,Ice Shard,
253,POWDERSNOW,Powder Snow,
254,ICEBALL,Ice Ball,
255,ICICLESPEAR,Icicle Spear,
256,SHEERCOLD,Sheer Cold,
257,HAIL,Hail,
258,HAZE,Haze,
259,MIST,Mist,
260,EXPLOSION,Explosion,
261,SELFDESTRUCT,Self-Destruct,
262,GIGAIMPACT,Giga Impact,
263,HYPERBEAM,Hyper Beam,
264,LASTRESORT,Last Resort,
265,DOUBLEEDGE,Double-Edge,
266,HEADCHARGE,Head Charge,
267,MEGAKICK,Mega Kick,
268,THRASH,Thrash,
269,EGGBOMB,Egg Bomb,
270,JUDGMENT,Judgment,
271,SKULLBASH,Skull Bash,
272,HYPERVOICE,Hyper Voice,
273,ROCKCLIMB,Rock Climb,
274,TAKEDOWN,Take Down,
275,UPROAR,Uproar,
276,BODYSLAM,Body Slam,
277,TECHNOBLAST,Techno Blast,
278,EXTREMESPEED,Extreme Speed,
279,HYPERFANG,Hyper Fang,
280,MEGAPUNCH,Mega Punch,
281,RAZORWIND,Razor Wind,
282,SLAM,Slam,
283,STRENGTH,Strength,
284,TRIATTACK,Tri Attack,
285,CRUSHCLAW,Crush Claw,
286,RELICSONG,Relic Song,
287,CHIPAWAY,Chip Away,
288,DIZZYPUNCH,Dizzy Punch,
289,FACADE,Facade,
290,HEADBUTT,Headbutt,
291,RETALIATE,Retaliate,
292,SECRETPOWER,Secret Power,
293,SLASH,Slash,
294,HORNATTACK,Horn Attack,
295,STOMP,Stomp,
296,COVET,Covet,
297,ROUND,Round,
298,SMELLINGSALTS,Smelling Salts,
299,SWIFT,Swift,
300,VICEGRIP,Vice Grip,
301,CUT,Cut,
302,STRUGGLE,Struggle,
303,TACKLE,Tackle,
304,WEATHERBALL,Weather Ball,
305,ECHOEDVOICE,Echoed Voice,
306,FAKEOUT,Fake Out,
307,FALSESWIPE,False Swipe,
308,PAYDAY,Pay Day,
309,POUND,Pound,
310,QUICKATTACK,Quick Attack,
311,SCRATCH,Scratch,
312,SNORE,Snore,
313,DOUBLEHIT,Double Hit,
314,FEINT,Feint,
315,TAILSLAP,Tail Slap,
316,RAGE,Rage,
317,RAPIDSPIN,Rapid Spin,
318,SPIKECANNON,Spike Cannon,
319,COMETPUNCH,Comet Punch,
320,FURYSWIPES,Fury Swipes,
321,BARRAGE,Barrage,
322,BIND,Bind,
323,DOUBLESLAP,Double Slap,
324,FURYATTACK,Fury Attack,
325,WRAP,Wrap,
326,CONSTRICT,Constrict,
327,BIDE,Bide,
328,CRUSHGRIP,Crush Grip,
329,ENDEAVOR,Endeavor,
330,FLAIL,Flail,
331,FRUSTRATION,Frustration,
332,GUILLOTINE,Guillotine,
333,HIDDENPOWER,Hidden Power,
334,HORNDRILL,Horn Drill,
335,NATURALGIFT,Natural Gift,
336,PRESENT,Present,
337,RETURN,Return,
338,SONICBOOM,Sonic Boom,
339,SPITUP,Spit Up,
340,SUPERFANG,Super Fang,
341,TRUMPCARD,Trump Card,
342,WRINGOUT,Wring Out,
343,ACUPRESSURE,Acupressure,
344,AFTERYOU,After You,
345,ASSIST,Assist,
346,ATTRACT,Attract,
347,BATONPASS,Baton Pass,
348,BELLYDRUM,Belly Drum,
349,BESTOW,Bestow,
350,BLOCK,Block,
351,CAMOUFLAGE,Camouflage,
352,CAPTIVATE,Captivate,
353,CHARM,Charm,
354,CONVERSION,Conversion,
355,CONVERSION2,Conversion 2,
356,COPYCAT,Copycat,
357,DEFENSECURL,Defense Curl,
358,DISABLE,Disable,
359,DOUBLETEAM,Double Team,
360,ENCORE,Encore,
361,ENDURE,Endure,
362,ENTRAINMENT,Entrainment,
363,FLASH,Flash,
364,FOCUSENERGY,Focus Energy,
365,FOLLOWME,Follow Me,
366,FORESIGHT,Foresight,
367,GLARE,Glare,
368,GROWL,Growl,
369,GROWTH,Growth,
370,HARDEN,Harden,
371,HEALBELL,Heal Bell,
372,HELPINGHAND,Helping Hand,
373,HOWL,Howl,
374,LEER,Leer,
375,LOCKON,Lock-On,
376,LOVELYKISS,Lovely Kiss,
377,LUCKYCHANT,Lucky Chant,
378,MEFIRST,Me First,
379,MEANLOOK,Mean Look,
380,METRONOME,Metronome,
381,MILKDRINK,Milk Drink,
382,MIMIC,Mimic,
383,MINDREADER,Mind Reader,
384,MINIMIZE,Minimize,
385,MOONLIGHT,Moonlight,
386,MORNINGSUN,Morning Sun,
387,NATUREPOWER,Nature Power,
388,ODORSLEUTH,Odor Sleuth,
389,PAINSPLIT,Pain Split,
390,PERISHSONG,Perish Song,
391,PROTECT,Protect,
392,PSYCHUP,Psych Up,
393,RECOVER,Recover,
394,RECYCLE,Recycle,
395,REFLECTTYPE,Reflect Type,
396,REFRESH,Refresh,
397,ROAR,Roar,
398,SAFEGUARD,Safeguard,
399,SCARYFACE,Scary Face,
400,SCREECH,Screech,
401,SHARPEN,Sharpen,
402,SHELLSMASH,Shell Smash,
403,SIMPLEBEAM,Simple Beam,
404,SING,Sing,
405,SKETCH,Sketch,
406,SLACKOFF,Slack Off,
407,SLEEPTALK,Sleep Talk,
408,SMOKESCREEN,Smokescreen,
409,SOFTBOILED,Soft-Boiled,
410,SPLASH,Splash,
411,STOCKPILE,Stockpile,
412,SUBSTITUTE,Substitute,
413,SUPERSONIC,Supersonic,
414,SWAGGER,Swagger,
415,SWALLOW,Swallow,
416,SWEETKISS,Sweet Kiss,
417,SWEETSCENT,Sweet Scent,
418,SWORDSDANCE,Swords Dance,
419,TAILWHIP,Tail Whip,
420,TEETERDANCE,Teeter Dance,
421,TICKLE,Tickle,
422,TRANSFORM,Transform,
423,WHIRLWIND,Whirlwind,
424,WISH,Wish,
425,WORKUP,Work Up,
426,YAWN,Yawn,
427,GUNKSHOT,Gunk Shot,
428,SLUDGEWAVE,Sludge Wave,
429,SLUDGEBOMB,Sludge Bomb,
430,POISONJAB,Poison Jab,
431,CROSSPOISON,Cross Poison,
432,SLUDGE,Sludge,
433,VENOSHOCK,Venoshock,
434,CLEARSMOG,Clear Smog,
435,POISONFANG,Poison Fang,
436,POISONTAIL,Poison Tail,
437,ACID,Acid,
438,ACIDSPRAY,Acid Spray,
439,SMOG,Smog,
440,POISONSTING,Poison Sting,
441,ACIDARMOR,Acid Armor,
442,COIL,Coil,
443,GASTROACID,Gastro Acid,
444,POISONGAS,Poison Gas,
445,POISONPOWDER,Poison Powder,
446,TOXIC,Toxic,
447,TOXICSPIKES,Toxic Spikes,
448,PSYCHOBOOST,Psycho Boost,
449,DREAMEATER,Dream Eater,
450,FUTURESIGHT,Future Sight,
451,PSYSTRIKE,Psystrike,
452,PSYCHIC,Psychic,
453,EXTRASENSORY,Extrasensory,
454,PSYSHOCK,Psyshock,
455,ZENHEADBUTT,Zen Headbutt,
456,LUSTERPURGE,Luster Purge,
457,MISTBALL,Mist Ball,
458,PSYCHOCUT,Psycho Cut,
459,SYNCHRONOISE,Synchronoise,
460,PSYBEAM,Psybeam,
461,HEARTSTAMP,Heart Stamp,
462,CONFUSION,Confusion,
463,MIRRORCOAT,Mirror Coat,
464,PSYWAVE,Psywave,
465,STOREDPOWER,Stored Power,
466,AGILITY,Agility,
467,ALLYSWITCH,Ally Switch,
468,AMNESIA,Amnesia,
469,BARRIER,Barrier,
470,CALMMIND,Calm Mind,
471,COSMICPOWER,Cosmic Power,
472,GRAVITY,Gravity,
473,GUARDSPLIT,Guard Split,
474,GUARDSWAP,Guard Swap,
475,HEALBLOCK,Heal Block,
476,HEALPULSE,Heal Pulse,
477,HEALINGWISH,Healing Wish,
478,HEARTSWAP,Heart Swap,
479,HYPNOSIS,Hypnosis,
480,IMPRISON,Imprison,
481,KINESIS,Kinesis,
482,LIGHTSCREEN,Light Screen,
483,LUNARDANCE,Lunar Dance,
484,MAGICCOAT,Magic Coat,
485,MAGICROOM,Magic Room,
486,MEDITATE,Meditate,
487,MIRACLEEYE,Miracle Eye,
488,POWERSPLIT,Power Split,
489,POWERSWAP,Power Swap,
490,POWERTRICK,Power Trick,
491,PSYCHOSHIFT,Psycho Shift,
492,REFLECT,Reflect,
493,REST,Rest,
494,ROLEPLAY,Role Play,
495,SKILLSWAP,Skill Swap,
496,TELEKINESIS,Telekinesis,
497,TELEPORT,Teleport,
498,TRICK,Trick,
499,TRICKROOM,Trick Room,
500,WONDERROOM,Wonder Room,
501,HEADSMASH,Head Smash,
502,ROCKWRECKER,Rock Wrecker,
503,STONEEDGE,Stone Edge,
504,ROCKSLIDE,Rock Slide,
505,POWERGEM,Power Gem,
506,ANCIENTPOWER,Ancient Power,
507,ROCKTHROW,Rock Throw,
508,ROCKTOMB,Rock Tomb,
509,SMACKDOWN,Smack Down,
510,ROLLOUT,Rollout,
511,ROCKBLAST,Rock Blast,
512,ROCKPOLISH,Rock Polish,
513,SANDSTORM,Sandstorm,
514,STEALTHROCK,Stealth Rock,
515,WIDEGUARD,Wide Guard,
516,DOOMDESIRE,Doom Desire,
517,IRONTAIL,Iron Tail,
518,METEORMASH,Meteor Mash,
519,FLASHCANNON,Flash Cannon,
520,IRONHEAD,Iron Head,
521,STEELWING,Steel Wing,
522,MIRRORSHOT,Mirror Shot,
523,MAGNETBOMB,Magnet Bomb,
524,GEARGRIND,Gear Grind,
525,METALCLAW,Metal Claw,
526,BULLETPUNCH,Bullet Punch,
527,GYROBALL,Gyro Ball,
528,HEAVYSLAM,Heavy Slam,
529,METALBURST,Metal Burst,
530,AUTOTOMIZE,Autotomize,
531,IRONDEFENSE,Iron Defense,
532,METALSOUND,Metal Sound,
533,SHIFTGEAR,Shift Gear,
534,HYDROCANNON,Hydro Cannon,
535,WATERSPOUT,Water Spout,
536,HYDROPUMP,Hydro Pump,
537,MUDDYWATER,Muddy Water,
538,SURF,Surf,
539,AQUATAIL,Aqua Tail,
540,CRABHAMMER,Crabhammer,
541,DIVE,Dive,
542,SCALD,Scald,
543,WATERFALL,Waterfall,
544,RAZORSHELL,Razor Shell,
545,BRINE,Brine,
546,BUBBLEBEAM,Bubble Beam,
547,OCTAZOOKA,Octazooka,
548,WATERPULSE,Water Pulse,
549,WATERPLEDGE,Water Pledge,
550,AQUAJET,Aqua Jet,
551,WATERGUN,Water Gun,
552,CLAMP,Clamp,
553,WHIRLPOOL,Whirlpool,
554,BUBBLE,Bubble,
555,AQUARING,Aqua Ring,
556,RAINDANCE,Rain Dance,
557,SOAK,Soak,
558,WATERSPORT,Water Sport,
559,WITHDRAW,Withdraw,
