Move Number,Move Code Name,Move Full Name,Function Code
197,LEAFBLADE,Leaf Blade,000
198,ENERGYBALL,Energy Ball,046
199,SEEDBOMB,Seed Bomb,000
200,GIGADRAIN,Giga Drain,0DD
201,HORNLEECH,Horn Leech,0DD
202,LEAFTORNADO,Leaf Tornado,047
203,MAGICALLEAF,Magical Leaf,0A5
204,NEEDLEARM,Needle Arm,00F
205,RAZORLEAF,Razor Leaf,000
206,GRASSPLEDGE,Grass Pledge,106
207,MEGADRAIN,Mega Drain,0DD
208,VINEWHIP,Vine Whip,000
209,BULLETSEED,Bullet Seed,0C0
210,ABSORB,Absorb,0DD
211,GRASSKNOT,Grass Knot,09A
212,AROMATHERAPY,Aromatherapy,019
213,COTTONGUARD,Cotton Guard,038
214,COTTONSPORE,Cotton Spore,04D
215,GRASSWHISTLE,Grass Whistle,003
216,INGRAIN,Ingrain,0DB
217,LEECHSEED,Leech Seed,0DC
218,SLEEPPOWDER,Sleep Powder,003
219,SPORE,Spore,003
220,STUNSPORE,Stun Spore,007
221,SYNTHESIS,Synthesis,0D8
222,WORRYSEED,Worry Seed,064
223,EARTHQUAKE,Earthquake,076
224,EARTHPOWER,Earth Power,046
225,DIG,Dig,0CA
226,DRILLRUN,Drill Run,000
227,BONECLUB,Bone Club,00F
228,MUDBOMB,Mud Bomb,047
229,BULLDOZE,Bulldoze,044
230,MUDSHOT,Mud Shot,044
231,BONEMERANG,Bonemerang,0BD
232,SANDTOMB,Sand Tomb,0CF
233,BONERUSH,Bone Rush,0C0
234,MUDSLAP,Mud-Slap,047
235,FISSURE,Fissure,070
236,MAGNITUDE,Magnitude,095
237,MUDSPORT,Mud Sport,09D
238,SANDATTACK,Sand Attack,047
239,SPIKES,Spikes,103
240,FREEZESHOCK,Freeze Shock,0C5
241,ICEBURN,Ice Burn,0C6
242,BLIZZARD,Blizzard,00D
243,ICEBEAM,Ice Beam,00C
244,ICICLECRASH,Icicle Crash,00F
245,ICEPUNCH,Ice Punch,00C
246,AURORABEAM,Aurora Beam,042
247,GLACIATE,Glaciate,044
248,ICEFANG,Ice Fang,00E
249,AVALANCHE,Avalanche,081
250,ICYWIND,Icy Wind,044
251,FROSTBREATH,Frost Breath,0A0
252,ICESHARD,Ice Shard,000
253,POWDERSNOW,Powder Snow,00C
254,ICEBALL,Ice Ball,0D3
255,ICICLESPEAR,Icicle Spear,0C0
256,SHEERCOLD,Sheer Cold,070
257,HAIL,Hail,102
258,HAZE,Haze,051
259,MIST,Mist,056
260,EXPLOSION,Explosion,000
261,SELFDESTRUCT,Self-Destruct,000
262,GIGAIMPACT,Giga Impact,0C2
263,HYPERBEAM,Hyper Beam,0C2
264,LASTRESORT,Last Resort,125
265,DOUBLEEDGE,Double-Edge,0FB
266,HEADCHARGE,Head Charge,0FA
267,MEGAKICK,Mega Kick,000
268,THRASH,Thrash,0D2
269,EGGBOMB,Egg Bomb,000
270,JUDGMENT,Judgment,09F
271,SKULLBASH,Skull Bash,0C8
272,HYPERVOICE,Hyper Voice,000
273,ROCKCLIMB,Rock Climb,013
274,TAKEDOWN,Take Down,0FA
275,UPROAR,Uproar,0D1
276,BODYSLAM,Body Slam,007
277,TECHNOBLAST,Techno Blast,09F
278,EXTREMESPEED,Extreme Speed,000
279,HYPERFANG,Hyper Fang,00F
280,MEGAPUNCH,Mega Punch,000
281,RAZORWIND,Razor Wind,0C3
282,SLAM,Slam,000
283,STRENGTH,Strength,000
284,TRIATTACK,Tri Attack,017
285,CRUSHCLAW,Crush Claw,043
286,RELICSONG,Relic Song,003
287,CHIPAWAY,Chip Away,0A9
288,DIZZYPUNCH,Dizzy Punch,013
289,FACADE,Facade,07E
290,HEADBUTT,Headbutt,00F
291,RETALIATE,Retaliate,085
292,SECRETPOWER,Secret Power,0A4
293,SLASH,Slash,000
294,HORNATTACK,Horn Attack,000
295,STOMP,Stomp,010
296,COVET,Covet,0F1
297,ROUND,Round,083
298,SMELLINGSALTS,Smelling Salts,07C
299,SWIFT,Swift,0A5
300,VICEGRIP,Vice Grip,000
301,CUT,Cut,000
302,STRUGGLE,Struggle,002
303,TACKLE,Tackle,000
304,WEATHERBALL,Weather Ball,087
305,ECHOEDVOICE,Echoed Voice,092
306,FAKEOUT,Fake Out,012
307,FALSESWIPE,False Swipe,000
308,PAYDAY,Pay Day,109
309,POUND,Pound,000
310,QUICKATTACK,Quick Attack,000
311,SCRATCH,Scratch,000
312,SNORE,Snore,011
313,DOUBLEHIT,Double Hit,0BD
314,FEINT,Feint,0AD
315,TAILSLAP,Tail Slap,0C0
316,RAGE,Rage,093
317,RAPIDSPIN,Rapid Spin,110
318,SPIKECANNON,Spike Cannon,0C0
319,COMETPUNCH,Comet Punch,0C0
320,FURYSWIPES,Fury Swipes,0C0
321,BARRAGE,Barrage,0C0
322,BIND,Bind,0CF
323,DOUBLESLAP,Double Slap,0C0
324,FURYATTACK,Fury Attack,0C0
325,WRAP,Wrap,0CF
326,CONSTRICT,Constrict,044
327,BIDE,Bide,0D4
328,CRUSHGRIP,Crush Grip,08C
329,ENDEAVOR,Endeavor,06E
330,FLAIL,Flail,098
331,FRUSTRATION,Frustration,08A
332,GUILLOTINE,Guillotine,070
333,HIDDENPOWER,Hidden Power,090
334,HORNDRILL,Horn Drill,070
335,NATURALGIFT,Natural Gift,096
336,PRESENT,Present,094
337,RETURN,Return,089
338,SONICBOOM,Sonic Boom,06A
339,SPITUP,Spit Up,113
340,SUPERFANG,Super Fang,06C
341,TRUMPCARD,Trump Card,097
342,WRINGOUT,Wring Out,08C
343,ACUPRESSURE,Acupressure,037
344,AFTERYOU,After You,11D
345,ASSIST,Assist,0B5
346,ATTRACT,Attract,016
347,BATONPASS,Baton Pass,0ED
348,BELLYDRUM,Belly Drum,03A
349,BESTOW,Bestow,0F3
350,BLOCK,Block,0EF
351,CAMOUFLAGE,Camouflage,060
352,CAPTIVATE,Captivate,04E
353,CHARM,Charm,04B
354,CONVERSION,Conversion,05E
355,CONVERSION2,Conversion 2,05F
356,COPYCAT,Copycat,0AF
357,DEFENSECURL,Defense Curl,01E
358,DISABLE,Disable,0B9
359,DOUBLETEAM,Double Team,022
360,ENCORE,Encore,0BC
361,ENDURE,Endure,000
362,ENTRAINMENT,Entrainment,066
363,FLASH,Flash,047
364,FOCUSENERGY,Focus Energy,023
365,FOLLOWME,Follow Me,117
366,FORESIGHT,Foresight,0A7
367,GLARE,Glare,007
368,GROWL,Growl,042
369,GROWTH,Growth,028
370,HARDEN,Harden,01D
371,HEALBELL,Heal Bell,019
372,HELPINGHAND,Helping Hand,09C
373,HOWL,Howl,01C
374,LEER,Leer,043
375,LOCKON,Lock-On,0A6
376,LOVELYKISS,Lovely Kiss,003
377,LUCKYCHANT,Lucky Chant,0A1
378,MEFIRST,Me First,0B0
379,MEANLOOK,Mean Look,0EF
380,METRONOME,Metronome,0B6
381,MILKDRINK,Milk Drink,0D5
382,MIMIC,Mimic,05C
383,MINDREADER,Mind Reader,0A6
384,MINIMIZE,Minimize,034
385,MOONLIGHT,Moonlight,0D8
386,MORNINGSUN,Morning Sun,0D8
387,NATUREPOWER,Nature Power,0B3
388,ODORSLEUTH,Odor Sleuth,0A7
389,PAINSPLIT,Pain Split,05A
390,PERISHSONG,Perish Song,000
391,PROTECT,Protect,0AA
392,PSYCHUP,Psych Up,055
393,RECOVER,Recover,0D5
394,RECYCLE,Recycle,0F6
395,REFLECTTYPE,Reflect Type,062
396,REFRESH,Refresh,018
397,ROAR,Roar,0EB
398,SAFEGUARD,Safeguard,01A
399,SCARYFACE,Scary Face,04D
400,SCREECH,Screech,04C
401,SHARPEN,Sharpen,01C
402,SHELLSMASH,Shell Smash,035
403,SIMPLEBEAM,Simple Beam,063
404,SING,Sing,003
405,SKETCH,Sketch,05D
406,SLACKOFF,Slack Off,0D5
407,SLEEPTALK,Sleep Talk,0B4
408,SMOKESCREEN,Smokescreen,047
409,SOFTBOILED,Soft-Boiled,0D5
410,SPLASH,Splash,001
411,STOCKPILE,Stockpile,112
412,SUBSTITUTE,Substitute,10C
413,SUPERSONIC,Supersonic,013
414,SWAGGER,Swagger,041
415,SWALLOW,Swallow,114
416,SWEETKISS,Sweet Kiss,013
417,SWEETSCENT,Sweet Scent,048
418,SWORDSDANCE,Swords Dance,02E
419,TAILWHIP,Tail Whip,043
420,TEETERDANCE,Teeter Dance,013
421,TICKLE,Tickle,04A
422,TRANSFORM,Transform,069
423,WHIRLWIND,Whirlwind,0EB
424,WISH,Wish,0D7
425,WORKUP,Work Up,027
426,YAWN,Yawn,004
427,GUNKSHOT,Gunk Shot,005
428,SLUDGEWAVE,Sludge Wave,005
429,SLUDGEBOMB,Sludge Bomb,005
430,POISONJAB,Poison Jab,005
431,CROSSPOISON,Cross Poison,005
432,SLUDGE,Sludge,005
433,VENOSHOCK,Venoshock,07B
434,CLEARSMOG,Clear Smog,050
435,POISONFANG,Poison Fang,006
436,POISONTAIL,Poison Tail,005
437,ACID,Acid,046
438,ACIDSPRAY,Acid Spray,04F
439,SMOG,Smog,005
440,POISONSTING,Poison Sting,005
441,ACIDARMOR,Acid Armor,02F
442,COIL,Coil,025
443,GASTROACID,Gastro Acid,068
444,POISONGAS,Poison Gas,005
445,POISONPOWDER,Poison Powder,005
446,TOXIC,Toxic,006
447,TOXICSPIKES,Toxic Spikes,104
448,PSYCHOBOOST,Psycho Boost,03F
449,DREAMEATER,Dream Eater,0DE
450,FUTURESIGHT,Future Sight,111
451,PSYSTRIKE,Psystrike,122
452,PSYCHIC,Psychic,046
453,EXTRASENSORY,Extrasensory,00F
454,PSYSHOCK,Psyshock,122
455,ZENHEADBUTT,Zen Headbutt,00F
456,LUSTERPURGE,Luster Purge,046
457,MISTBALL,Mist Ball,045
458,PSYCHOCUT,Psycho Cut,000
459,SYNCHRONOISE,Synchronoise,123
460,PSYBEAM,Psybeam,013
461,HEARTSTAMP,Heart Stamp,00F
462,CONFUSION,Confusion,013
463,MIRRORCOAT,Mirror Coat,072
464,PSYWAVE,Psywave,06F
465,STOREDPOWER,Stored Power,08E
466,AGILITY,Agility,030
467,ALLYSWITCH,Ally Switch,120
468,AMNESIA,Amnesia,033
469,BARRIER,Barrier,02F
470,CALMMIND,Calm Mind,02C
471,COSMICPOWER,Cosmic Power,02A
472,GRAVITY,Gravity,118
473,GUARDSPLIT,Guard Split,059
474,GUARDSWAP,Guard Swap,053
475,HEALBLOCK,Heal Block,0BB
476,HEALPULSE,Heal Pulse,0DF
477,HEALINGWISH,Healing Wish,000
478,HEARTSWAP,Heart Swap,054
479,HYPNOSIS,Hypnosis,003
480,IMPRISON,Imprison,0B8
481,KINESIS,Kinesis,047
482,LIGHTSCREEN,Light Screen,0A3
483,LUNARDANCE,Lunar Dance,000
484,MAGICCOAT,Magic Coat,0B1
485,MAGICROOM,Magic Room,0F9
486,MEDITATE,Meditate,01C
487,MIRACLEEYE,Miracle Eye,0A8
488,POWERSPLIT,Power Split,058
489,POWERSWAP,Power Swap,052
490,POWERTRICK,Power Trick,057
491,PSYCHOSHIFT,Psycho Shift,01B
492,REFLECT,Reflect,0A2
493,REST,Rest,0D9
494,ROLEPLAY,Role Play,065
495,SKILLSWAP,Skill Swap,067
496,TELEKINESIS,Telekinesis,11A
497,TELEPORT,Teleport,0EA
498,TRICK,Trick,0F2
499,TRICKROOM,Trick Room,11F
500,WONDERROOM,Wonder Room,124
501,HEADSMASH,Head Smash,0FC
502,ROCKWRECKER,Rock Wrecker,0C2
503,STONEEDGE,Stone Edge,000
504,ROCKSLIDE,Rock Slide,00F
505,POWERGEM,Power Gem,000
506,ANCIENTPOWER,Ancient Power,02D
507,ROCKTHROW,Rock Throw,000
508,ROCKTOMB,Rock Tomb,044
509,SMACKDOWN,Smack Down,11C
510,ROLLOUT,Rollout,0D3
511,ROCKBLAST,Rock Blast,0C0
512,ROCKPOLISH,Rock Polish,030
513,SANDSTORM,Sandstorm,101
514,STEALTHROCK,Stealth Rock,105
515,WIDEGUARD,Wide Guard,0AC
516,DOOMDESIRE,Doom Desire,111
517,IRONTAIL,Iron Tail,043
518,METEORMASH,Meteor Mash,01C
519,FLASHCANNON,Flash Cannon,046
520,IRONHEAD,Iron Head,00F
521,STEELWING,Steel Wing,01D
522,MIRRORSHOT,Mirror Shot,047
523,MAGNETBOMB,Magnet Bomb,0A5
524,GEARGRIND,Gear Grind,0BD
525,METALCLAW,Metal Claw,01C
526,BULLETPUNCH,Bullet Punch,000
527,GYROBALL,Gyro Ball,08D
528,HEAVYSLAM,Heavy Slam,09B
529,METALBURST,Metal Burst,073
530,AUTOTOMIZE,Autotomize,031
531,IRONDEFENSE,Iron Defense,02F
532,METALSOUND,Metal Sound,04F
533,SHIFTGEAR,Shift Gear,036
534,HYDROCANNON,Hydro Cannon,0C2
535,WATERSPOUT,Water Spout,08B
536,HYDROPUMP,Hydro Pump,000
537,MUDDYWATER,Muddy Water,047
538,SURF,Surf,075
539,AQUATAIL,Aqua Tail,000
540,CRABHAMMER,Crabhammer,000
541,DIVE,Dive,0CB
542,SCALD,Scald,00A
543,WATERFALL,Waterfall,00F
544,RAZORSHELL,Razor Shell,043
545,BRINE,Brine,080
546,BUBBLEBEAM,Bubble Beam,044
547,OCTAZOOKA,Octazooka,047
548,WATERPULSE,Water Pulse,013
549,WATERPLEDGE,Water Pledge,108
550,AQUAJET,Aqua Jet,000
551,WATERGUN,Water Gun,000
552,CLAMP,Clamp,0CF
553,WHIRLPOOL,Whirlpool,0D0
554,BUBBLE,Bubble,044
555,AQUARING,Aqua Ring,0DA
556,RAINDANCE,Rain Dance,100
557,SOAK,Soak,061
558,WATERSPORT,Water Sport,09E
559,WITHDRAW,Withdraw,01D
